sample,category,mean,median,std,count
1DPI,Glial scar,0.476,0.419,0.181,35
1DPI,Intact anatomy,0.413,0.404,0.187,1785
1DPI,Ischemic core,0.671,0.742,0.254,305
1DPI,Ischemic penumbra,0.517,0.54,0.241,345
1DPI,Lesioned cortex,0.323,0.333,0.072,117
3DPI,Glial scar,0.486,0.456,0.149,42
3DPI,Intact anatomy,0.377,0.332,0.183,1930
3DPI,Ischemic core,0.352,0.267,0.248,350
3DPI,Ischemic penumbra,0.456,0.468,0.194,160
3DPI,Lesioned cortex,0.315,0.304,0.089,91
7DPI,Glial scar,0.541,0.538,0.224,24
7DPI,Intact anatomy,0.392,0.384,0.175,2143
7DPI,Ischemic core,0.557,0.613,0.192,51
7DPI,Ischemic penumbra,0.473,0.497,0.233,229
7DPI,Lesioned cortex,0.409,0.406,0.095,149
Ctrl,Glial scar,0.431,0.421,0.204,84
Ctrl,Intact anatomy,0.456,0.456,0.19,2141
Ctrl,Ischemic core,0.198,0.202,0.109,22
Ctrl,Ischemic penumbra,0.266,0.25,0.137,21
Ctrl,Lesioned cortex,0.386,0.397,0.112,149
