seed,sample,method,ari,nmi,n_clusters,res,sec
0,1DPI,SpatialDomainAE,0.5065882275220027,0.6769400830666958,10,0.5,69.5
0,1DPI,SpatialGATAE,0.48299447855394156,0.6631080268805646,9,0.5,66.0
0,1DPI,ExprOnlyAE,0.4856781449830985,0.6664400262677609,13,1.0,61.9
0,3DPI,SpatialDomainAE,0.691680560055374,0.7864829807863026,13,1.0,82.8
0,3DPI,SpatialGATAE,0.6515121588954015,0.7671556393890717,14,0.8,66.5
0,3DPI,ExprOnlyAE,0.7212786920244889,0.7914007615722393,14,1.0,58.7
0,7DPI,SpatialDomainAE,0.6438242274557253,0.7599069014395908,14,0.8,80.6
0,7DPI,SpatialGATAE,0.6282988454998021,0.7528744662216597,11,0.8,67.8
0,7DPI,ExprOnlyAE,0.573872337277434,0.7242880405763721,11,0.8,57.2
0,Ctrl,SpatialDomainAE,0.5694847988463976,0.7119952029291403,16,1.0,80.7
0,Ctrl,SpatialGATAE,0.5324215817478236,0.6768260508479204,9,0.3,64.1
0,Ctrl,ExprOnlyAE,0.5715531084390544,0.7071567961235112,11,0.8,57.5
1,1DPI,SpatialDomainAE,0.5124765550947697,0.6701819360718274,12,0.8,78.4
1,1DPI,SpatialGATAE,0.5044674609703114,0.6682793981582397,12,0.8,64.4
1,1DPI,ExprOnlyAE,0.4852975165746036,0.6706787683427237,12,0.8,59.2
1,3DPI,SpatialDomainAE,0.6753334578915228,0.7857752357642444,15,1.0,81.7
1,3DPI,SpatialGATAE,0.6691189998548173,0.7745338316956909,13,0.8,67.2
1,3DPI,ExprOnlyAE,0.712688401864907,0.7897938958093652,14,1.0,58.2
1,7DPI,SpatialDomainAE,0.7072341282174082,0.7851000243776755,15,1.0,80.7
1,7DPI,SpatialGATAE,0.6238506610161169,0.7588724111322325,12,0.8,63.9
1,7DPI,ExprOnlyAE,0.6544028554074608,0.7637762041423787,11,0.8,58.3
1,Ctrl,SpatialDomainAE,0.5869608323498582,0.7132202639483626,12,0.8,77.0
1,Ctrl,SpatialGATAE,0.5417634605121345,0.7034771427804679,15,0.8,63.9
1,Ctrl,ExprOnlyAE,0.5976333128291152,0.7268426413297601,14,1.0,54.6
2,1DPI,SpatialDomainAE,0.5329169815097823,0.7062299265214842,18,1.0,76.8
2,1DPI,SpatialGATAE,0.5224601043760781,0.6859966020285687,13,0.8,61.6
2,1DPI,ExprOnlyAE,0.48961753890978477,0.660415349606809,8,0.5,46.8
2,3DPI,SpatialDomainAE,0.6747638414101471,0.7779873725877218,13,0.8,74.9
2,3DPI,SpatialGATAE,0.7009627225560949,0.7820469535268868,14,0.8,60.0
2,3DPI,ExprOnlyAE,0.7018649842577531,0.7861531727036626,14,1.0,56.7
2,7DPI,SpatialDomainAE,0.6259090699022634,0.7501751479355518,10,0.5,69.9
2,7DPI,SpatialGATAE,0.5837278734680029,0.721342694710249,8,0.3,62.7
2,7DPI,ExprOnlyAE,0.5738901719038717,0.7138356533945658,8,0.5,53.5
2,Ctrl,SpatialDomainAE,0.5109113602402825,0.6842321953269906,16,1.0,72.4
2,Ctrl,SpatialGATAE,0.5387584538487655,0.7026220595973436,14,0.8,60.8
2,Ctrl,ExprOnlyAE,0.5803820594387507,0.7034551632761102,14,1.0,59.9
3,1DPI,SpatialDomainAE,0.4982202610024032,0.6832114027214706,8,0.3,71.9
3,1DPI,SpatialGATAE,0.5430689154294271,0.7045582558994746,8,0.3,57.2
3,1DPI,ExprOnlyAE,0.4896644418838063,0.671174737316884,13,1.0,53.0
3,3DPI,SpatialDomainAE,0.695932625811418,0.7965038075408549,14,0.8,69.1
3,3DPI,SpatialGATAE,0.6611338335816931,0.7601777360613324,13,0.8,63.2
3,3DPI,ExprOnlyAE,0.718093656216565,0.788750165314354,14,1.0,56.7
3,7DPI,SpatialDomainAE,0.5898190982148187,0.7515417899958808,15,1.0,78.2
3,7DPI,SpatialGATAE,0.602432767203046,0.7459000217610827,14,0.8,61.2
3,7DPI,ExprOnlyAE,0.5910904895798623,0.7285214413926446,8,0.5,57.5
3,Ctrl,SpatialDomainAE,0.5676408441995943,0.708135831115239,14,0.8,72.3
3,Ctrl,SpatialGATAE,0.5356506782758237,0.7097819568210547,17,1.0,60.5
3,Ctrl,ExprOnlyAE,0.5515930902643148,0.6944880416269319,14,1.0,55.4
4,1DPI,SpatialDomainAE,0.5402440789115651,0.6995740292152431,14,0.8,73.1
4,1DPI,SpatialGATAE,0.504361109115309,0.6712460050486311,12,0.8,57.3
4,1DPI,ExprOnlyAE,0.4991151661673166,0.6752022009304955,12,0.8,52.5
4,3DPI,SpatialDomainAE,0.6887115576246267,0.7836029878639826,14,0.8,75.0
4,3DPI,SpatialGATAE,0.6992070955074797,0.7791373743011623,14,1.0,62.9
4,3DPI,ExprOnlyAE,0.7142344625387438,0.8022393623180633,14,1.0,56.6
4,7DPI,SpatialDomainAE,0.5924728167096098,0.7396265179278634,10,0.5,72.7
4,7DPI,SpatialGATAE,0.6162648111810183,0.743049816426263,14,1.0,62.2
4,7DPI,ExprOnlyAE,0.607927941257319,0.735490139660099,12,0.8,59.1
4,Ctrl,SpatialDomainAE,0.5345807656840061,0.7208636450573339,21,1.5,75.8
4,Ctrl,SpatialGATAE,0.5492454288238668,0.7046783787795676,15,0.8,59.6
4,Ctrl,ExprOnlyAE,0.5671904660751438,0.7136765285298742,12,0.8,55.4
