seed,sample,method,oracle,fixed_g1,silhouette
0,1DPI,SpatialDomainAE,0.5240316281503953,0.4797196982017657,0.5022035753244602
0,1DPI,Spatial-MGCN,0.5034116773697863,0.4617556330663582,0.5034116773697863
0,1DPI,GraphST,0.5053050214594268,0.46744901226024604,0.46744901226024604
0,1DPI,SpaGCN,0.6247754392619477,0.49846450677664145,0.6247754392619477
0,1DPI,STAGATE,0.4781232723700072,0.40788941462086825,0.2106400230399754
0,3DPI,SpatialDomainAE,0.6987787743678049,0.6861230294923869,0.5505815592344933
0,3DPI,Spatial-MGCN,0.625892323263147,0.44818211556089926,0.625892323263147
0,3DPI,GraphST,0.646278670092517,0.646278670092517,0.5632562756396843
0,3DPI,SpaGCN,0.5962086962123598,0.5079895925501914,0.5962086962123598
0,3DPI,STAGATE,0.5936946993323224,0.42948871044557957,0.22131308288578588
0,7DPI,SpatialDomainAE,0.6662009042933507,0.5934223223793643,0.60290305644066
0,7DPI,Spatial-MGCN,0.6480567737362588,0.4943941048650387,0.6211459672019609
0,7DPI,GraphST,0.5666059674640521,0.5462167068870145,0.49487326083888805
0,7DPI,SpaGCN,0.6305165416776637,0.4858475873148725,0.6305165416776637
0,7DPI,STAGATE,0.5388176612085187,0.44128543219009675,0.2279728128405979
0,Ctrl,SpatialDomainAE,0.5598536071719337,0.5598536071719337,0.48259894563835737
0,Ctrl,Spatial-MGCN,0.6539597534411805,0.5174294921670797,0.6539597534411805
0,Ctrl,GraphST,0.5517427049544162,0.5187136676947904,0.5279915498090145
0,Ctrl,SpaGCN,0.5584117943648984,0.53125404167735,0.5270752665369394
0,Ctrl,STAGATE,0.4717806247993038,0.4154892008448091,0.21571230871593783
1,1DPI,SpatialDomainAE,0.5011349653605635,0.5011349653605635,0.5005812820347268
1,1DPI,Spatial-MGCN,0.5505287242757495,0.4472459611050028,0.5505287242757495
1,1DPI,GraphST,0.5642543359141707,0.47135574888125903,0.5210327556978822
1,1DPI,SpaGCN,0.5502838083969216,0.48236351779530373,0.5502838083969216
1,1DPI,STAGATE,0.43957160618520946,0.3768013336993467,0.22866792526737614
1,3DPI,SpatialDomainAE,0.6623883069086416,0.6575693219148881,0.592004712228153
1,3DPI,Spatial-MGCN,0.6046684392866382,0.5111675493254989,0.5972996787317861
1,3DPI,GraphST,0.6327663034961659,0.5985537606726881,0.5693386462344789
1,3DPI,SpaGCN,0.6237917819381587,0.503746167720659,0.6237917819381587
1,3DPI,STAGATE,0.5438965447528691,0.45224680878534873,0.5438965447528691
1,7DPI,SpatialDomainAE,0.6843892941956778,0.6843892941956778,0.5877130270309577
1,7DPI,Spatial-MGCN,0.6377332208316299,0.48319640253596136,0.6377332208316299
1,7DPI,GraphST,0.5772248710174339,0.5641610040654259,0.5141176487653627
1,7DPI,SpaGCN,0.6378912089811057,0.48541056080818584,0.6378912089811057
1,7DPI,STAGATE,0.5582961267636143,0.3983756158390287,0.2139344357465562
1,Ctrl,SpatialDomainAE,0.5844111052806336,0.5844111052806336,0.5447488194066542
1,Ctrl,Spatial-MGCN,0.6437315823899609,0.5070825168820031,0.6437315823899609
1,Ctrl,GraphST,0.5587561822374978,0.5257609711254534,0.5365303364875996
1,Ctrl,SpaGCN,0.5695171377154947,0.5305840340709397,0.5695171377154947
1,Ctrl,STAGATE,0.4723465308199348,0.3738627888499635,0.20452068048780112
2,1DPI,SpatialDomainAE,0.5109419952784168,0.5109419952784168,0.47931632951649156
2,1DPI,Spatial-MGCN,0.5173197980527985,0.4493755728572546,0.5173197980527985
2,1DPI,GraphST,0.5303703727042627,0.44936650089869956,0.48223868417747157
2,1DPI,SpaGCN,0.5373434502345611,0.469847325603905,0.5300873459940367
2,1DPI,STAGATE,0.4314697049618136,0.3694236226343027,0.22778282471485398
2,3DPI,SpatialDomainAE,0.6800057741377599,0.6547314344992108,0.6373784998931163
2,3DPI,Spatial-MGCN,0.6251255223664433,0.5385595992181087,0.6143805152311447
2,3DPI,GraphST,0.6439263522145948,0.6067952801703773,0.6067952801703773
2,3DPI,SpaGCN,0.6311361578020805,0.5597267228632055,0.5987126183929992
2,3DPI,STAGATE,0.5454386043334986,0.42298650899749984,0.5454386043334986
2,7DPI,SpatialDomainAE,0.6762710579908126,0.5962803904913265,0.547511939094817
2,7DPI,Spatial-MGCN,0.6588464408692439,0.4540720732469025,0.6588464408692439
2,7DPI,GraphST,0.5710285633012877,0.5347372279504415,0.5710285633012877
2,7DPI,SpaGCN,0.662852228127605,0.4871216854839649,0.662852228127605
2,7DPI,STAGATE,0.5435765990708298,0.40917479806766277,0.23457232455707253
2,Ctrl,SpatialDomainAE,0.5066100997534484,0.5054718550559227,0.5066100997534484
2,Ctrl,Spatial-MGCN,0.6306826539166276,0.5143915810423078,0.6306826539166276
2,Ctrl,GraphST,0.6279250028376515,0.4978787063654726,0.5324690745755538
2,Ctrl,SpaGCN,0.5765809163280128,0.5479253364537594,0.5588109531172389
2,Ctrl,STAGATE,0.47299811527059954,0.37948675007980115,0.2156557622145248
