seed,sample,method,lam,ari,nmi,n_clusters,res,sec
0,1DPI,v2_lam0.0,0.0,0.5491455163384981,0.7292768682258121,9,0.3,46.1
0,3DPI,v2_lam0.0,0.0,0.7253830174447159,0.8036364604239394,14,0.5,16.6
0,7DPI,v2_lam0.0,0.0,0.6374390769836573,0.7849591418909341,14,0.5,16.4
0,Ctrl,v2_lam0.0,0.0,0.6177396206209976,0.7485812544581447,11,0.3,16.6
1,1DPI,v2_lam0.0,0.0,0.5690662401253618,0.7472389712999681,14,0.5,15.6
1,3DPI,v2_lam0.0,0.0,0.7332236431695264,0.8105178115801942,14,0.5,14.4
1,7DPI,v2_lam0.0,0.0,0.6212743562920559,0.7606950890269997,9,0.3,14.1
1,Ctrl,v2_lam0.0,0.0,0.6037692298601671,0.7382399932533311,11,0.3,14.1
2,1DPI,v2_lam0.0,0.0,0.5411636204043488,0.7319813633438685,17,0.8,16.0
2,3DPI,v2_lam0.0,0.0,0.6621802527012274,0.7916420508739468,13,0.5,14.8
2,7DPI,v2_lam0.0,0.0,0.664966618512377,0.7748150116747994,10,0.3,14.6
2,Ctrl,v2_lam0.0,0.0,0.617405065442653,0.7447034604667344,11,0.3,13.8
3,1DPI,v2_lam0.0,0.0,0.5349088602340343,0.7199559547411495,10,0.3,14.1
3,3DPI,v2_lam0.0,0.0,0.7447800929488475,0.8187724949729793,15,0.5,14.1
3,7DPI,v2_lam0.0,0.0,0.6279688058015722,0.7663521759803745,9,0.3,15.0
3,Ctrl,v2_lam0.0,0.0,0.6078304241604955,0.7410142075677487,12,0.5,15.0
4,1DPI,v2_lam0.0,0.0,0.5474120021563835,0.7302188569019572,10,0.3,16.2
4,3DPI,v2_lam0.0,0.0,0.7167717306819767,0.8129005520565423,14,0.5,14.3
4,7DPI,v2_lam0.0,0.0,0.5877663670696448,0.7606007715128082,17,0.8,14.4
4,Ctrl,v2_lam0.0,0.0,0.592246845316132,0.7330088082504743,11,0.3,21.8
5,1DPI,v2_lam0.0,0.0,0.5625816466698376,0.7426476478418514,10,0.3,15.3
5,3DPI,v2_lam0.0,0.0,0.7064513574095004,0.8108753139592001,14,0.5,15.7
5,7DPI,v2_lam0.0,0.0,0.5658344656224427,0.7377917145796428,11,0.3,15.5
5,Ctrl,v2_lam0.0,0.0,0.6370842084495787,0.7533827021908773,11,0.3,17.9
6,1DPI,v2_lam0.0,0.0,0.5530077383918759,0.7321157840025194,9,0.3,15.1
6,3DPI,v2_lam0.0,0.0,0.7300415133107035,0.8068893943171167,15,0.5,16.0
6,7DPI,v2_lam0.0,0.0,0.6364188050699318,0.7605379847389822,13,0.5,15.0
6,Ctrl,v2_lam0.0,0.0,0.6131769473653137,0.7440183645023678,11,0.3,15.3
7,1DPI,v2_lam0.0,0.0,0.5436674102533221,0.726730941593514,10,0.3,15.8
7,3DPI,v2_lam0.0,0.0,0.719804569847795,0.811297807807422,13,0.5,15.3
7,7DPI,v2_lam0.0,0.0,0.6428190315192517,0.7613806242451395,12,0.3,16.6
7,Ctrl,v2_lam0.0,0.0,0.6405850336005098,0.7627035823086955,14,0.5,16.3
8,1DPI,v2_lam0.0,0.0,0.5476275599882523,0.729700775860112,9,0.3,19.3
8,3DPI,v2_lam0.0,0.0,0.7107051592783116,0.8028928852545613,12,0.5,15.7
8,7DPI,v2_lam0.0,0.0,0.6274829355209992,0.7711208505932999,9,0.3,17.7
8,Ctrl,v2_lam0.0,0.0,0.5987512319370073,0.7388492001887509,11,0.3,17.0
9,1DPI,v2_lam0.0,0.0,0.549177873355339,0.727637995326672,9,0.3,15.8
9,3DPI,v2_lam0.0,0.0,0.7392673122635066,0.8143843335090232,14,0.5,19.9
9,7DPI,v2_lam0.0,0.0,0.6684237807050061,0.7733539055137524,10,0.3,15.3
9,Ctrl,v2_lam0.0,0.0,0.6342327318225512,0.749832699130677,13,0.5,13.9
