seed,sample,ari,nmi,n_clusters,leiden_res,train_seconds
0,Ctrl,0.5395753883001848,0.6991321728505935,12,0.5,96.4025502204895
0,1DPI,0.5257265995290133,0.7006905916971636,10,0.5,39.09848999977112
0,3DPI,0.7304139575049121,0.8061888166182956,15,1.0,41.127400159835815
0,7DPI,0.6708431127624103,0.7724412988317697,14,0.8,40.4232542514801
1,Ctrl,0.5809503082039854,0.7144259716112102,11,0.5,38.87235403060913
1,1DPI,0.5139003290696539,0.6861486568327636,10,0.5,39.40404725074768
1,3DPI,0.6806629960096157,0.7912120610235571,14,0.8,41.3277862071991
1,7DPI,0.6573124376498343,0.7754213883665623,15,1.0,42.21564722061157
2,Ctrl,0.6037972406416329,0.7239353339351913,11,0.5,40.16455340385437
2,1DPI,0.5031244771921011,0.6885227494322271,8,0.3,39.14523506164551
2,3DPI,0.6787850244216309,0.7871115262403747,13,0.8,40.916468143463135
2,7DPI,0.6666167776794226,0.7794158640444819,14,0.8,42.31059169769287
3,Ctrl,0.5882067803061659,0.7285778498561881,15,0.8,40.237958669662476
3,1DPI,0.5108774600515888,0.6885450441703133,10,0.5,32.134570837020874
3,3DPI,0.7571024289830866,0.8055737038994567,15,0.8,40.87697672843933
3,7DPI,0.6094233142874977,0.7498055492069812,10,0.5,42.41369843482971
42,Ctrl,0.6019460106050692,0.7457639797384443,16,1.0,41.58077073097229
42,1DPI,0.5111695810695057,0.691580807755286,15,0.8,39.7165253162384
42,3DPI,0.721319798042138,0.7994500880618081,14,0.8,42.01334261894226
42,7DPI,0.6365640738432207,0.7573200023747386,12,0.5,41.442474603652954
