seed,sample,n_hvg,ari,nmi,n_clusters,res
0,Ctrl,2000,0.5664936102050254,0.7107683615297031,11,0.5
0,1DPI,2000,0.5333832547279028,0.7036317703627979,9,0.3
0,3DPI,2000,0.6271709178838445,0.7630032957865225,10,0.5
0,7DPI,2000,0.6157657072208181,0.7278892790301725,10,0.5
1,Ctrl,2000,0.5623499982197558,0.7095081404299449,11,0.5
1,1DPI,2000,0.569948344638583,0.7257519414863538,8,0.3
1,3DPI,2000,0.6207304074480317,0.7554865254816596,11,0.5
1,7DPI,2000,0.5415100547969601,0.7091391168095609,9,0.3
2,Ctrl,2000,0.5524078131075867,0.7071254053909668,13,0.8
2,1DPI,2000,0.51017561391715,0.7028744791947467,16,0.8
2,3DPI,2000,0.613985023403343,0.7477505172383605,9,0.3
2,7DPI,2000,0.5600580524471537,0.7117215702519489,8,0.3
0,Ctrl,3000,0.5777060515464923,0.7122758489681945,12,0.5
0,1DPI,3000,0.4926894226777538,0.6635341130191964,9,0.3
0,3DPI,3000,0.6183423811898864,0.7389855103369991,10,0.3
0,7DPI,3000,0.610961574692922,0.7396164733723866,8,0.3
1,Ctrl,3000,0.5849775136273793,0.7294950619201965,12,0.5
1,1DPI,3000,0.47581820801093133,0.682097810817238,12,0.5
1,3DPI,3000,0.6574102011053936,0.7509678501682436,15,0.8
1,7DPI,3000,0.6236465563656415,0.7427086897053351,10,0.5
2,Ctrl,3000,0.590809104220884,0.7228597797795421,13,0.5
2,1DPI,3000,0.5171962233882424,0.7125178098601167,8,0.3
2,3DPI,3000,0.66153383308386,0.7615178640268649,12,0.5
2,7DPI,3000,0.5950176759015567,0.7361772675828647,8,0.3
0,Ctrl,5000,0.49277143222530384,0.6681243681541887,15,0.5
0,1DPI,5000,0.5429899048744933,0.7103030719653388,9,0.3
0,3DPI,5000,0.6591016171432345,0.7537970521989935,10,0.3
0,7DPI,5000,0.5802822830443131,0.7296767112109493,10,0.3
1,Ctrl,5000,0.4361383286618804,0.6362008595514935,14,0.5
1,1DPI,5000,0.5251213938607379,0.6931322436098234,10,0.3
1,3DPI,5000,0.6134881408840803,0.7376446994635923,10,0.3
1,7DPI,5000,0.5696016393284026,0.7030806143000832,8,0.3
