seed,sample,axis,param,value,ari,nmi,n_clusters,res,sec
0,1DPI,metric,metric,correlation,0.513981819192042,0.6941964643793757,14,0.8,75.0
0,1DPI,metric,metric,cosine,0.5195090281223523,0.6985916608087583,9,0.5,150.2
0,1DPI,metric,metric,euclidean,0.49904472804519817,0.686509007927445,14,0.8,153.6
0,3DPI,metric,metric,correlation,0.7075948140372589,0.7895981357475413,14,0.8,162.0
0,3DPI,metric,metric,cosine,0.699288655678607,0.7880354836793182,16,1.0,156.9
0,3DPI,metric,metric,euclidean,0.6986652056071396,0.7908278041985566,16,1.0,152.1
0,7DPI,metric,metric,correlation,0.645181000682105,0.7808737726357247,16,1.0,155.1
0,7DPI,metric,metric,cosine,0.6548232798616556,0.7767159654549662,14,0.8,150.9
0,7DPI,metric,metric,euclidean,0.6218457426147395,0.7560078843134839,10,0.5,153.9
0,Ctrl,metric,metric,correlation,0.5675748384819377,0.7164221321645592,15,0.8,152.6
0,Ctrl,metric,metric,cosine,0.5688403999896022,0.7109061432141146,16,0.8,149.6
0,Ctrl,metric,metric,euclidean,0.5474942279903218,0.7108562650721016,18,1.0,144.4
1,1DPI,metric,metric,correlation,0.5364528161175061,0.6868419734579949,14,0.8,149.5
1,1DPI,metric,metric,cosine,0.5346469593900465,0.6877785382962213,13,0.8,136.8
1,1DPI,metric,metric,euclidean,0.4961792763442658,0.6650826932608978,11,0.5,140.9
1,3DPI,metric,metric,correlation,0.689008037783688,0.7894796528971582,14,0.8,150.8
1,3DPI,metric,metric,cosine,0.6739123640116133,0.7903056590852497,19,1.0,147.0
1,3DPI,metric,metric,euclidean,0.7138429434054298,0.8032596105077807,16,1.0,146.2
1,7DPI,metric,metric,correlation,0.6740257269232606,0.7756286827591499,14,0.8,153.2
1,7DPI,metric,metric,cosine,0.6421424680661305,0.7620675125459819,15,0.8,147.5
1,7DPI,metric,metric,euclidean,0.6644165176947224,0.7661353677234934,12,0.8,145.8
1,Ctrl,metric,metric,correlation,0.5561082355261213,0.7021437931776328,14,0.8,146.7
1,Ctrl,metric,metric,cosine,0.5690636622756167,0.7088203491735563,14,0.8,140.9
1,Ctrl,metric,metric,euclidean,0.605063997479566,0.7305034262961789,16,1.0,141.7
2,1DPI,metric,metric,correlation,0.5075585290470059,0.686276659901046,16,1.0,134.8
2,1DPI,metric,metric,cosine,0.49824527579273065,0.6865802906195473,9,0.5,129.4
2,1DPI,metric,metric,euclidean,0.4893791632390282,0.6767329928446967,13,0.8,137.5
2,3DPI,metric,metric,correlation,0.6573915307673369,0.7781517047903476,14,0.8,146.4
2,3DPI,metric,metric,cosine,0.6791730162212055,0.797407202208974,15,1.0,142.8
2,3DPI,metric,metric,euclidean,0.6746284219378388,0.7881830165849854,12,0.5,147.0
2,7DPI,metric,metric,correlation,0.6237776814767609,0.7541294508672965,13,0.8,149.4
2,7DPI,metric,metric,cosine,0.6354400347563054,0.7609858405362491,10,0.5,145.9
2,7DPI,metric,metric,euclidean,0.6346058613587877,0.7606370483243897,13,0.8,150.1
2,Ctrl,metric,metric,correlation,0.5520339221103926,0.7006530743901138,10,0.5,145.9
2,Ctrl,metric,metric,cosine,0.5817884616676224,0.7225337368213183,15,0.8,144.1
2,Ctrl,metric,metric,euclidean,0.557024499163753,0.7101742508818396,13,0.8,147.5
