seed,sample,method,ari,nmi,native_kmeans_ari,native_kmeans_nmi,n_clusters,res
0,Ctrl,SpaMask,0.28331891092931394,0.5455237868154225,0.39421490355914524,0.6225419678721901,22,1.0
0,1DPI,SpaMask,0.36242963265288924,0.5733849905298182,0.33555876719994754,0.5973565410855237,10,0.3
0,3DPI,SpaMask,0.40281019485405145,0.5962203187126999,0.4035268050192785,0.6430698574511978,11,0.5
0,7DPI,SpaMask,0.36238793139836845,0.565233678245256,0.3775681701856259,0.6203936771048357,11,0.5
1,Ctrl,SpaMask,0.3070260396748004,0.4961064448554882,0.3318609923935146,0.5937192377816063,9,0.3
1,1DPI,SpaMask,0.31698628223218805,0.5398127989440165,0.353297150320686,0.6085374736070156,9,0.3
1,3DPI,SpaMask,0.3533403010621748,0.5903349973352073,0.3429954111347412,0.5884259559198751,14,0.5
1,7DPI,SpaMask,0.4270254656212855,0.6078544970808006,0.34397232012772183,0.5958643957425149,12,0.5
2,Ctrl,SpaMask,0.32396276748874464,0.49973066651715026,0.39564702587447065,0.6046110196456655,9,0.3
2,1DPI,SpaMask,0.31673180044582105,0.5902178765777866,0.3897651781944858,0.601519414542143,21,1.0
2,3DPI,SpaMask,0.3443130297228292,0.5898787232810322,0.4261273938821026,0.6318590336799498,18,0.8
2,7DPI,SpaMask,0.34449425961341956,0.5548011285739369,0.3213631463294958,0.5749400434974546,13,0.5
